order_id,date,category,product,region,units_sold,unit_price,revenue,sales_rep
1044,2025-12-06,Sporting Goods,Camping Tent,West,12.0,90.29,1083.48,S. Patel
1093,2025-07-20,Home & Garden,Wall Clock, East ,14.0,156.61,109627.0,S. Patel
1131,2025-10-10,Electronics,Bluetooth Speaker,East,4.0,106.3,425.2,L. Nguyen
1180,2025-05-27,Home & Garden,Garden Hose,east,6.0,103.59,621.54,R. Smith
1027,2026-04-20,Electronics,Smart Watch,west,13.0,32.61,423.93,S. Patel
1277,2025-09-03,Electronics,Wireless Earbuds,south,12.0,88.4,1060.8,S. Patel
1221,2026-05-19,Electronics,Laptop Stand,East,10.0,83.08,830.8,L. Nguyen
1163,2025-07-03,Sporting Goods,Bike Helmet, East ,8.0,139.04,1112.32,S. Patel
1135,2026-02-15,Toys,Board Game,East,11.0,156.01,1716.11,L. Nguyen
1118,2025-08-31,Toys,Plush Bear,south,5.0,17.2,86.0,M. Ortiz
1231,2025-02-07,Sporting Goods,Water Bottle,East,4.0,121.87,487.48,S. Patel
1285,2025-02-05,Home & Garden,LED Desk Lamp,south,10.0,200.47,2004.7,A. Khan
1290,2026-04-16,Home & Garden,Wall Clock,West,13.0,71.89,934.57,R. Smith
1030,2026-04-21,Apparel,Rain Jacket, North,4.0,45.17,180.68,S. Patel
1203,2025-06-01,Toys,Board Game,north ,10.0,197.57,1975.7,S. Patel
1286,2025-01-20,Home & Garden,Ceramic Planter,NORTH,9.0,193.97,1745.73,R. Smith
1199,2025-04-09,Apparel,Rain Jacket,west,5.0,81.16,405.8,S. Patel
1293,2025-12-20,Sporting Goods,Yoga Mat,south,1.0,90.99,90.99,L. Nguyen
1081,2025-03-04,Sporting Goods,Dumbbell Set,East,12.0,77.68,932.16,R. Smith
1140,2026-04-17,Apparel,Running Shoes,east,13.0,207.39,2696.07,M. Ortiz
1083,2026-05-14,Apparel,Wool Sweater,east,5.0,175.81,879.05,M. Ortiz
1019,2026-01-21,Sporting Goods,Bike Helmet,west,14.0,27.9,390.6,A. Khan
1190,2025-12-12,Apparel,Running Shoes,West,11.0,24.08,264.88,R. Smith
1017,2026-05-07,Electronics,Smart Watch,WEST,1.0,44.74,44.74,J. Chen
1216,2025-12-04,Sporting Goods,Camping Tent,South,13.0,21.22,275.86,S. Patel
1167,2025-10-07,Sporting Goods,Bike Helmet,WEST,3.0,118.27,354.81,J. Chen
1257,2025-12-15,Electronics,Laptop Stand,West,4.0,98.19,392.76,J. Chen
